draw_seq,date,p1,p2,p3,p4,p5,p6,strong_num
966,2025-09-29,15,32,31,10,19,20,4
965,2025-09-26,4,19,23,11,3,17,5
964,2025-09-22,18,35,21,31,7,12,1
963,2025-09-19,25,36,9,18,3,15,6
962,2025-09-15,33,34,8,26,18,13,5
961,2025-09-12,6,24,1,19,35,10,3
960,2025-09-08,5,12,1,3,22,32,4
959,2025-09-05,11,26,5,4,22,15,7
958,2025-09-01,1,35,30,33,18,24,1
957,2025-08-29,2,33,11,3,21,15,3
956,2025-08-25,24,12,35,13,20,2,4
955,2025-08-22,22,8,7,30,13,33,1
954,2025-08-18,16,15,37,8,1,11,7
953,2025-08-15,5,13,12,26,18,36,5
952,2025-08-11,26,14,11,4,2,9,4
951,2025-08-08,21,32,15,2,16,8,3
950,2025-08-04,6,1,29,36,34,7,6
949,2025-08-01,36,30,21,1,23,33,5
948,2025-07-28,24,1,35,8,28,18,3
947,2025-07-25,25,13,9,31,19,35,2
946,2025-07-21,31,16,22,30,26,24,6
945,2025-07-18,22,11,32,2,30,3,2
944,2025-07-14,9,2,36,25,24,33,6
943,2025-07-11,26,32,2,29,10,15,2
942,2025-07-07,33,29,27,32,13,1,3
941,2025-07-04,3,25,37,31,20,15,5
940,2025-06-30,16,27,7,17,30,22,7
939,2025-06-27,23,18,25,6,14,7,4
938,2025-06-23,22,29,16,13,27,33,6
937,2025-06-20,26,19,17,16,27,6,2
936,2025-06-16,24,8,11,12,2,1,1
935,2025-06-13,18,28,21,10,36,9,4
934,2025-06-09,33,36,21,17,2,14,4
933,2025-06-06,7,4,19,13,22,27,1
932,2025-06-02,17,32,12,19,22,21,6
931,2025-05-30,20,22,12,29,7,33,5
930,2025-05-26,2,6,25,11,22,3,2
929,2025-05-23,13,9,25,8,5,29,6
928,2025-05-19,21,28,15,23,14,31,6
927,2025-05-16,35,13,10,29,25,6,3
926,2025-05-12,10,26,5,17,15,4,1
925,2025-05-09,36,29,21,3,23,14,7
924,2025-05-05,18,10,26,9,16,25,3
923,2025-05-02,23,18,33,13,35,6,6
922,2025-04-28,24,9,26,30,27,29,1
921,2025-04-25,34,27,22,6,31,13,7
920,2025-04-21,37,8,34,1,19,21,5
919,2025-04-18,9,30,17,21,34,32,1
918,2025-04-14,29,30,27,17,25,19,5
917,2025-04-11,5,34,37,15,10,11,7
916,2025-04-07,1,5,13,19,3,17,3
915,2025-04-04,36,15,26,2,22,23,3
914,2025-03-31,32,2,3,26,11,6,3
913,2025-03-28,13,9,10,29,20,33,6
912,2025-03-24,18,19,21,23,27,35,2
911,2025-03-21,18,17,3,8,10,20,2
910,2025-03-17,31,12,11,7,35,21,2
909,2025-03-14,31,11,12,20,10,13,7
908,2025-03-10,4,14,9,20,3,17,3
907,2025-03-07,29,33,18,19,10,12,1
906,2025-03-03,16,23,14,7,31,15,7
905,2025-02-28,28,26,27,12,19,24,1
904,2025-02-24,27,4,13,31,32,7,4
903,2025-02-21,37,30,18,3,14,36,7
902,2025-02-17,26,35,23,11,2,7,4
901,2025-02-14,30,34,25,17,21,1,5
900,2025-02-10,12,8,33,3,7,11,7
899,2025-02-07,30,15,36,29,33,19,1
898,2025-02-03,9,5,30,23,7,26,1
897,2025-01-31,14,7,1,22,8,4,2
896,2025-01-27,2,12,1,34,6,33,4
895,2025-01-24,19,20,12,37,16,17,4
894,2025-01-20,20,13,18,5,23,16,7
893,2025-01-17,8,21,11,15,31,28,2
892,2025-01-13,27,11,16,23,13,26,3
891,2025-01-10,14,19,11,28,29,25,5
890,2025-01-06,8,36,28,20,13,4,1
889,2025-01-03,14,28,26,8,24,23,7
888,2024-12-30,17,35,16,29,2,24,1
887,2024-12-27,4,6,8,27,31,12,4
886,2024-12-23,28,3,37,19,11,24,6
885,2024-12-20,37,8,28,12,13,14,5
884,2024-12-16,2,35,7,6,15,36,5
883,2024-12-13,14,8,32,36,24,37,4
882,2024-12-09,25,5,21,24,36,37,2
881,2024-12-06,28,19,16,11,37,31,4
880,2024-12-02,25,7,4,12,6,8,4
879,2024-11-29,32,16,11,20,17,23,1
878,2024-11-25,10,16,7,31,34,22,2
877,2024-11-22,9,17,14,6,28,36,1
876,2024-11-18,11,14,20,19,26,30,1
875,2024-11-15,29,28,1,8,30,9,5
874,2024-11-11,13,17,8,6,14,3,1
873,2024-11-08,36,37,2,25,33,4,6
872,2024-11-04,16,8,14,17,15,24,1
871,2024-11-01,22,15,6,18,26,31,1
870,2024-10-28,31,30,15,6,20,29,7
869,2024-10-25,10,12,26,36,17,8,2
868,2024-10-21,25,11,6,33,1,18,2
867,2024-10-18,13,37,12,31,34,35,4
866,2024-10-14,10,14,20,26,35,31,7
865,2024-10-11,26,8,12,22,1,5,2
864,2024-10-07,7,13,19,11,36,12,5
863,2024-10-04,2,36,10,28,20,23,3
862,2024-09-30,31,1,32,30,33,25,5
861,2024-09-27,30,9,5,28,27,32,6
860,2024-09-23,26,13,34,23,7,21,4
859,2024-09-20,24,5,27,12,10,1,7
858,2024-09-16,26,19,1,18,27,13,1
857,2024-09-13,34,27,10,7,33,25,2
856,2024-09-09,18,8,22,36,35,32,2
855,2024-09-06,31,13,17,25,20,10,5
854,2024-09-02,19,4,2,10,35,24,5
853,2024-08-30,13,21,33,14,11,3,2
852,2024-08-26,8,16,23,32,30,2,3
851,2024-08-23,19,1,7,33,5,13,6
850,2024-08-19,1,2,7,33,16,36,1
849,2024-08-16,8,15,21,29,25,1,1
848,2024-08-12,37,2,8,10,9,1,4
847,2024-08-09,36,15,26,33,9,28,1
846,2024-08-05,26,29,28,6,33,5,4
845,2024-08-02,24,21,9,11,37,31,2
844,2024-07-29,14,25,5,28,8,29,4
843,2024-07-26,25,33,27,28,24,36,2
842,2024-07-22,16,21,30,4,5,7,1
841,2024-07-19,4,33,31,10,1,27,3
840,2024-07-15,1,23,27,11,3,22,2
839,2024-07-12,3,21,25,12,16,2,2
838,2024-07-08,15,4,30,29,10,27,1
837,2024-07-05,15,23,8,22,28,12,2
836,2024-07-01,5,12,8,11,36,26,6
835,2024-06-28,16,12,29,31,33,28,2
834,2024-06-24,11,16,36,12,18,9,4
833,2024-06-21,36,10,16,6,11,13,4
832,2024-06-17,26,23,22,19,15,7,3
831,2024-06-14,32,25,26,7,37,28,4
830,2024-06-10,17,37,22,9,15,1,3
829,2024-06-07,3,7,30,37,14,8,3
828,2024-06-03,1,32,17,21,22,16,1
827,2024-05-31,5,4,31,35,34,25,7
826,2024-05-27,16,6,25,35,27,14,1
825,2024-05-24,13,11,29,32,27,35,5
824,2024-05-20,12,23,25,1,31,37,6
823,2024-05-17,9,20,7,21,3,17,3
822,2024-05-13,15,8,4,17,1,30,6
821,2024-05-10,17,30,35,19,32,16,3
820,2024-05-06,17,15,7,9,8,25,6
819,2024-05-03,25,12,20,13,1,35,1
818,2024-04-29,30,37,2,7,4,13,5
817,2024-04-26,7,37,1,16,22,4,1
816,2024-04-22,18,13,29,6,14,5,7
815,2024-04-19,1,20,32,29,31,22,2
814,2024-04-15,3,35,31,9,26,4,5
813,2024-04-12,17,27,29,11,8,15,6
812,2024-04-08,23,14,26,15,21,18,5
811,2024-04-05,32,22,31,8,34,14,3
810,2024-04-01,28,7,26,21,35,13,2
809,2024-03-29,29,6,36,16,33,4,6
808,2024-03-25,7,14,35,19,3,9,5
807,2024-03-22,35,29,26,5,34,7,2
806,2024-03-18,27,15,10,21,16,35,5
805,2024-03-15,10,27,33,9,28,6,3
804,2024-03-11,9,31,8,13,24,2,7
803,2024-03-08,33,27,15,23,13,16,2
802,2024-03-04,16,28,23,11,25,36,7
801,2024-03-01,17,19,34,32,6,8,3
800,2024-02-26,36,29,10,23,14,3,3
799,2024-02-23,12,32,29,5,34,6,7
798,2024-02-19,6,15,34,16,29,20,7
797,2024-02-16,26,8,9,12,24,18,7
796,2024-02-12,34,32,17,31,28,11,1
795,2024-02-09,2,30,28,22,24,17,4
794,2024-02-05,8,14,26,5,1,9,3
793,2024-02-02,36,21,26,32,6,23,2
792,2024-01-29,35,10,15,7,17,1,6
791,2024-01-26,9,36,26,11,13,5,2
790,2024-01-22,3,19,23,33,11,18,7
789,2024-01-19,23,11,24,1,28,12,3
788,2024-01-15,11,12,36,7,1,16,6
787,2024-01-12,5,37,12,11,34,31,3
786,2024-01-08,13,8,14,15,10,23,6
785,2024-01-05,23,35,34,9,10,33,1
784,2024-01-01,18,2,26,25,7,17,5
783,2023-12-29,10,37,30,11,29,23,4
782,2023-12-25,26,29,2,25,33,9,1
781,2023-12-22,17,28,35,8,19,15,7
780,2023-12-18,21,17,23,10,30,16,4
779,2023-12-15,32,2,17,27,14,21,6
778,2023-12-11,27,22,32,3,31,17,6
777,2023-12-08,27,17,9,15,23,22,6
776,2023-12-04,37,10,34,36,32,11,2
775,2023-12-01,12,31,2,17,23,34,3
774,2023-11-27,32,22,5,24,23,27,6
773,2023-11-24,36,11,4,7,9,24,2
772,2023-11-20,18,9,16,30,11,33,1
771,2023-11-17,31,1,21,25,22,13,4
770,2023-11-13,10,31,33,2,34,25,7
769,2023-11-10,4,18,14,10,21,36,6
768,2023-11-06,17,3,23,10,15,4,2
767,2023-11-03,3,30,13,9,29,10,1
766,2023-10-30,1,37,13,30,21,18,3
765,2023-10-27,13,21,12,28,31,15,5
764,2023-10-23,17,21,31,29,20,2,6
763,2023-10-20,8,31,14,1,28,22,5
762,2023-10-16,30,36,24,10,15,11,5
761,2023-10-13,9,31,22,27,14,34,7
760,2023-10-09,15,12,4,6,33,21,7
759,2023-10-06,24,5,14,1,3,9,4
758,2023-10-02,13,31,27,37,17,20,3
757,2023-09-29,1,15,24,14,23,34,5
756,2023-09-25,36,23,17,16,32,27,7
755,2023-09-22,36,32,7,17,25,8,7
754,2023-09-18,32,10,15,24,5,28,5
753,2023-09-15,19,26,12,15,28,14,5
752,2023-09-11,2,27,21,11,15,36,6
751,2023-09-08,8,9,31,12,5,6,5
750,2023-09-04,15,25,37,13,32,34,4
749,2023-09-01,17,33,18,7,1,13,1
748,2023-08-28,4,2,37,7,26,6,3
747,2023-08-25,2,12,5,11,16,9,3
746,2023-08-21,9,26,34,18,6,7,1
745,2023-08-18,24,34,9,16,33,22,7
744,2023-08-14,7,14,25,22,27,24,3
743,2023-08-11,28,30,35,16,24,10,1
742,2023-08-07,18,37,6,19,28,13,4
741,2023-08-04,5,31,2,14,6,3,6
740,2023-07-31,9,6,32,12,8,15,2
739,2023-07-28,5,14,26,33,15,8,4
738,2023-07-24,12,13,8,30,17,36,5
737,2023-07-21,15,32,12,30,33,16,6
736,2023-07-17,7,23,22,11,27,16,1
735,2023-07-14,34,19,16,29,3,37,6
734,2023-07-10,18,16,2,5,17,34,2
733,2023-07-07,32,4,31,10,2,25,1
732,2023-07-03,36,22,5,7,33,27,1
731,2023-06-30,28,6,13,11,7,16,5
730,2023-06-26,21,8,20,3,12,35,1
729,2023-06-23,19,12,35,11,27,9,6
728,2023-06-19,5,15,33,12,20,1,1
727,2023-06-16,16,21,4,8,5,23,1
726,2023-06-12,17,37,3,16,1,30,7
725,2023-06-09,33,36,26,12,30,3,5
724,2023-06-05,29,19,13,17,5,9,7
723,2023-06-02,33,19,20,37,31,34,7
722,2023-05-29,24,14,21,19,32,5,3
721,2023-05-26,6,32,14,22,4,13,7
720,2023-05-22,19,15,34,27,21,29,2
719,2023-05-19,34,21,26,12,8,13,5
718,2023-05-15,18,36,33,16,35,11,6
717,2023-05-12,13,19,6,36,2,28,4
716,2023-05-08,5,15,9,32,13,2,1
715,2023-05-05,14,8,20,1,36,31,2
714,2023-05-01,34,22,3,16,35,2,4
713,2023-04-28,32,17,6,8,4,21,4
712,2023-04-24,31,14,10,12,6,4,2
711,2023-04-21,18,17,32,5,25,16,1
710,2023-04-17,11,21,4,20,37,13,1
709,2023-04-14,29,35,16,18,7,17,2
708,2023-04-10,27,24,11,3,15,26,3
707,2023-04-07,5,6,35,32,17,16,5
706,2023-04-03,33,37,19,31,27,17,4
705,2023-03-31,9,10,13,16,8,14,3
704,2023-03-27,15,30,8,9,13,1,3
703,2023-03-24,31,23,36,14,30,20,5
702,2023-03-20,1,16,31,2,35,26,1
701,2023-03-17,5,21,11,32,20,33,1
700,2023-03-13,26,32,21,10,9,31,7
699,2023-03-10,2,23,31,33,27,1,4
698,2023-03-06,35,10,14,37,23,26,7
697,2023-03-03,25,31,21,12,16,24,1
696,2023-02-27,1,36,25,24,32,7,5
695,2023-02-24,22,15,36,29,11,4,5
694,2023-02-20,31,9,25,33,36,35,1
693,2023-02-17,20,14,17,37,7,25,7
692,2023-02-13,20,21,19,7,23,22,6
691,2023-02-10,12,8,29,9,20,17,4
690,2023-02-06,19,31,26,10,27,8,5
689,2023-02-03,34,33,5,8,11,16,7
688,2023-01-30,31,34,14,8,7,19,3
687,2023-01-27,13,14,15,16,10,8,1
686,2023-01-23,27,34,29,8,13,23,4
685,2023-01-20,11,33,32,20,3,5,3
684,2023-01-16,15,20,33,26,2,35,1
683,2023-01-13,17,13,7,37,5,30,4
682,2023-01-09,8,27,4,29,31,6,1
681,2023-01-06,19,1,23,32,26,36,6
680,2023-01-02,11,27,14,3,2,36,6
679,2022-12-30,23,32,12,35,2,9,4
678,2022-12-26,9,8,20,14,29,34,6
677,2022-12-23,24,37,9,15,8,2,6
676,2022-12-19,17,30,21,18,33,37,6
675,2022-12-16,20,12,37,1,32,14,2
674,2022-12-12,27,29,2,25,13,3,1
673,2022-12-09,9,3,23,25,7,33,6
672,2022-12-05,14,31,9,36,2,7,7
671,2022-12-02,25,3,14,4,6,1,6
670,2022-11-28,14,35,33,32,4,15,1
669,2022-11-25,35,13,24,4,5,2,2
668,2022-11-21,24,17,7,1,20,13,1
667,2022-11-18,4,9,27,20,23,19,4
666,2022-11-14,18,33,21,16,37,14,3
665,2022-11-11,13,24,33,23,34,30,7
664,2022-11-07,8,14,17,21,2,6,3
663,2022-11-04,19,10,12,2,11,8,7
662,2022-10-31,5,10,31,36,28,13,1
661,2022-10-28,26,29,24,11,2,30,3
660,2022-10-24,37,15,7,22,2,11,5
659,2022-10-21,6,17,22,8,20,4,2
658,2022-10-17,18,22,25,26,13,27,1
657,2022-10-14,27,25,13,17,14,9,6
656,2022-10-10,11,31,21,20,3,22,3
655,2022-10-07,24,10,11,37,16,17,7
654,2022-10-03,8,24,26,23,4,15,7
653,2022-09-30,2,13,24,8,19,32,3
652,2022-09-26,19,31,35,8,33,36,2
651,2022-09-23,32,6,31,5,1,7,3
650,2022-09-19,11,13,9,17,22,18,2
649,2022-09-16,22,7,9,24,37,28,6
648,2022-09-12,27,16,13,24,11,37,7
647,2022-09-09,36,23,21,7,8,4,1
646,2022-09-05,5,7,18,6,29,37,3
645,2022-09-02,33,28,31,34,18,6,1
644,2022-08-29,11,17,33,21,1,6,7
643,2022-08-26,32,16,9,4,28,21,5
642,2022-08-22,15,19,35,22,7,3,3
641,2022-08-19,24,36,19,6,22,7,5
640,2022-08-15,36,19,17,22,29,32,4
639,2022-08-12,25,4,15,5,36,27,1
638,2022-08-08,8,33,14,37,13,3,2
637,2022-08-05,8,12,9,24,22,14,5
636,2022-08-01,26,24,36,15,7,9,2
635,2022-07-29,27,5,14,2,24,1,5
634,2022-07-25,3,7,6,20,36,9,1
633,2022-07-22,26,34,11,18,14,10,5
632,2022-07-18,29,3,2,22,31,8,7
631,2022-07-15,18,7,19,37,22,21,5
630,2022-07-11,18,37,20,17,36,12,7
629,2022-07-08,28,9,22,20,17,35,3
628,2022-07-04,7,11,25,1,3,35,3
627,2022-07-01,27,26,35,37,1,25,6
626,2022-06-27,36,20,31,9,1,4,1
625,2022-06-24,19,35,4,3,33,6,1
624,2022-06-20,8,6,15,33,2,29,2
623,2022-06-17,31,28,26,15,16,3,4
622,2022-06-13,16,37,17,13,1,4,4
621,2022-06-10,11,5,6,36,37,24,1
620,2022-06-06,9,5,28,31,37,25,7
619,2022-06-03,9,2,3,21,20,19,3
618,2022-05-30,13,19,5,16,34,18,1
617,2022-05-27,35,11,23,1,10,19,5
616,2022-05-23,11,37,9,32,4,26,2
615,2022-05-20,6,1,7,22,30,21,2
614,2022-05-16,12,10,8,14,1,24,4
613,2022-05-13,11,6,1,28,26,5,4
612,2022-05-09,25,5,19,36,18,16,5
611,2022-05-06,37,26,35,21,6,9,3
610,2022-05-02,10,20,22,6,24,1,4
609,2022-04-29,34,18,14,26,7,17,5
608,2022-04-25,5,3,36,25,2,1,2
607,2022-04-22,2,29,1,30,26,28,4
606,2022-04-18,26,14,13,2,16,33,1
605,2022-04-15,31,5,20,26,32,19,7
604,2022-04-11,18,27,36,14,29,6,2
603,2022-04-08,26,2,35,18,1,27,7
602,2022-04-04,3,34,29,32,18,26,7
601,2022-04-01,28,34,23,8,16,27,1
600,2022-03-28,2,5,12,34,23,7,3
599,2022-03-25,36,24,34,28,8,4,7
598,2022-03-21,13,33,32,27,17,20,4
597,2022-03-18,32,36,20,26,10,12,5
596,2022-03-14,37,17,11,12,28,3,3
595,2022-03-11,4,9,12,13,23,34,5
594,2022-03-07,33,12,2,27,25,9,1
593,2022-03-04,31,7,35,22,18,19,4
592,2022-02-28,21,10,33,35,30,15,5
591,2022-02-25,7,36,28,1,13,34,4
590,2022-02-21,35,15,36,10,22,24,4
589,2022-02-18,33,29,5,21,25,31,7
588,2022-02-14,34,10,7,33,37,17,6
587,2022-02-11,30,16,9,7,22,37,2
586,2022-02-07,2,20,21,28,18,37,6
585,2022-02-04,36,14,15,33,29,28,4
584,2022-01-31,17,26,30,24,12,36,7
583,2022-01-28,21,3,15,1,34,29,1
582,2022-01-24,22,30,6,4,17,23,4
581,2022-01-21,24,8,34,9,14,33,1
580,2022-01-17,18,21,25,9,22,19,6
579,2022-01-14,16,21,9,3,37,27,5
578,2022-01-10,22,29,17,14,18,23,7
577,2022-01-07,14,34,3,5,19,10,2
576,2022-01-03,7,25,35,3,10,22,2
575,2021-12-31,33,28,34,1,16,8,2
574,2021-12-27,34,18,29,5,21,2,2
573,2021-12-24,8,24,20,9,23,3,7
572,2021-12-20,27,12,18,5,23,34,6
571,2021-12-17,9,37,13,16,25,7,2
570,2021-12-13,9,35,11,19,28,30,5
569,2021-12-10,7,5,14,24,33,9,2
568,2021-12-06,16,34,14,13,37,23,6
567,2021-12-03,25,12,8,13,2,15,3
566,2021-11-29,11,21,10,35,22,30,6
565,2021-11-26,16,28,12,15,23,30,3
564,2021-11-22,3,1,35,30,19,20,4
563,2021-11-19,27,28,34,20,19,17,2
562,2021-11-15,13,27,17,16,26,23,5
561,2021-11-12,14,32,2,36,10,20,6
560,2021-11-08,16,37,36,2,8,27,1
559,2021-11-05,10,30,23,6,3,7,6
558,2021-11-01,4,31,8,32,7,30,6
557,2021-10-29,25,6,24,21,32,16,3
556,2021-10-25,13,17,37,3,19,1,4
555,2021-10-22,30,31,23,32,35,34,1
554,2021-10-18,35,8,10,37,30,18,1
553,2021-10-15,16,2,23,33,15,32,3
552,2021-10-11,9,16,26,21,35,10,6
551,2021-10-08,19,15,20,33,25,30,7
550,2021-10-04,18,17,29,15,35,27,2
549,2021-10-01,19,15,29,24,5,1,3
548,2021-09-27,33,6,18,12,36,23,3
547,2021-09-24,32,2,9,20,12,28,7
546,2021-09-20,3,18,37,34,33,31,5
545,2021-09-17,36,23,8,12,15,28,7
544,2021-09-13,34,20,3,5,37,29,6
543,2021-09-10,11,26,30,6,2,1,2
542,2021-09-06,20,3,24,29,32,10,2
541,2021-09-03,24,14,2,10,19,9,7
540,2021-08-30,11,33,12,37,34,32,4
539,2021-08-27,22,15,1,2,13,31,3
538,2021-08-23,19,11,13,8,35,25,4
537,2021-08-20,12,7,20,5,33,4,7
536,2021-08-16,22,17,23,2,34,5,4
535,2021-08-13,13,35,3,20,10,22,1
534,2021-08-09,24,26,21,17,20,22,7
533,2021-08-06,17,9,29,33,11,20,1
532,2021-08-02,6,29,5,20,34,30,7
531,2021-07-30,35,32,24,2,36,22,6
530,2021-07-26,10,15,20,25,6,19,1
529,2021-07-23,12,20,16,15,25,23,4
528,2021-07-19,26,19,37,34,15,14,4
527,2021-07-16,11,26,20,34,2,17,7
526,2021-07-12,11,34,37,21,13,10,7
525,2021-07-09,37,28,12,9,13,6,7
524,2021-07-05,17,14,19,26,3,30,4
523,2021-07-02,20,14,29,22,26,36,5
522,2021-06-28,10,3,37,11,35,29,2
521,2021-06-25,13,33,24,22,3,26,2
520,2021-06-21,22,19,27,2,15,4,3
519,2021-06-18,14,23,9,28,36,34,4
518,2021-06-14,15,27,30,29,37,9,2
517,2021-06-11,20,24,8,36,13,7,7
516,2021-06-07,16,4,29,30,34,15,4
515,2021-06-04,9,22,19,6,37,33,2
514,2021-05-31,21,8,5,20,10,32,6
513,2021-05-28,37,20,30,23,29,22,1
512,2021-05-24,21,28,13,7,3,37,4
511,2021-05-21,30,33,24,12,17,15,3
510,2021-05-17,11,9,8,37,27,2,3
509,2021-05-14,26,11,4,33,23,27,5
508,2021-05-10,24,32,30,31,3,34,7
507,2021-05-07,27,28,1,23,29,36,2
506,2021-05-03,24,1,4,3,19,22,4
505,2021-04-30,30,11,7,25,18,15,3
504,2021-04-26,4,36,25,37,3,27,7
503,2021-04-23,28,12,27,22,29,8,4
502,2021-04-19,29,7,11,18,3,12,7
501,2021-04-16,29,18,4,5,36,34,3
500,2021-04-12,14,25,34,31,24,36,7
499,2021-04-09,18,15,31,34,23,24,1
498,2021-04-05,18,12,25,27,37,34,6
497,2021-04-02,10,34,33,9,6,25,5
496,2021-03-29,12,26,29,11,33,5,3
495,2021-03-26,8,36,34,6,11,29,3
494,2021-03-22,3,31,18,27,12,32,6
493,2021-03-19,29,35,24,10,17,19,4
492,2021-03-15,20,5,35,32,26,28,5
491,2021-03-12,12,29,7,6,13,34,3
490,2021-03-08,18,14,7,5,28,15,5
489,2021-03-05,31,36,26,11,17,21,1
488,2021-03-01,11,26,14,6,7,36,2
487,2021-02-26,16,10,14,36,2,22,6
486,2021-02-22,33,27,32,23,28,19,1
485,2021-02-19,25,6,15,28,2,29,2
484,2021-02-15,27,37,16,19,2,5,3
483,2021-02-12,33,25,19,20,8,24,2
482,2021-02-08,19,29,10,23,30,5,1
481,2021-02-05,27,35,17,25,19,34,3
480,2021-02-01,29,19,21,1,23,3,1
479,2021-01-29,21,30,1,4,8,26,3
478,2021-01-25,21,35,27,31,28,1,6
477,2021-01-22,20,28,24,8,3,2,6
476,2021-01-18,1,32,20,19,27,4,7
475,2021-01-15,35,2,23,24,16,29,5
474,2021-01-11,25,26,22,15,2,24,5
473,2021-01-08,21,36,22,19,9,15,5
472,2021-01-04,16,12,26,23,20,36,1
471,2021-01-01,7,37,18,28,5,8,4
470,2020-12-28,10,31,12,33,35,1,2
469,2020-12-25,14,22,30,16,1,13,3
468,2020-12-21,5,11,16,25,2,4,2
467,2020-12-18,17,3,10,16,30,11,3
466,2020-12-14,29,13,20,10,37,14,1
465,2020-12-11,4,18,14,17,7,16,2
464,2020-12-07,36,37,24,27,15,22,4
463,2020-12-04,4,22,20,9,1,8,3
462,2020-11-30,36,20,7,5,6,3,7
461,2020-11-27,35,30,16,31,25,34,6
460,2020-11-23,1,10,24,37,18,21,1
459,2020-11-20,28,35,36,26,32,34,2
458,2020-11-16,14,5,4,29,6,34,5
457,2020-11-13,1,11,12,24,10,22,7
456,2020-11-09,19,29,1,15,9,5,4
455,2020-11-06,37,8,15,6,9,19,5
454,2020-11-02,34,6,5,7,32,27,5
453,2020-10-30,9,28,27,18,20,15,7
452,2020-10-26,37,12,2,27,6,20,3
451,2020-10-23,3,16,24,17,4,36,5
450,2020-10-19,6,4,19,35,31,29,7
449,2020-10-16,22,1,14,37,28,29,7
448,2020-10-12,34,26,3,13,28,10,6
447,2020-10-09,10,22,11,20,33,13,1
446,2020-10-05,8,3,26,5,28,27,6
445,2020-10-02,1,23,8,14,34,18,5
444,2020-09-28,29,25,18,9,12,2,3
443,2020-09-25,28,15,26,7,25,14,2
442,2020-09-21,26,17,27,15,24,18,3
441,2020-09-18,24,11,30,20,6,5,7
440,2020-09-14,5,29,17,13,28,10,7
439,2020-09-11,19,33,34,29,6,25,6
438,2020-09-07,18,24,26,1,20,21,7
437,2020-09-04,7,26,36,27,14,4,7
